hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2395,Hopegill Head,34B,2386,Sim;Hew;N;sHu; W;B;Sy;Fel,770,NY185221,54.588082,-3.26166,1
2396,High Raise [High Raise (High White Stones)],34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,762,NY280095,54.475962,-3.111268,1
2397,Slight Side,34B,2359,W;B;Sy;Fel; xN,762,NY209050,54.434392,-3.219575,1
2399,Red Pike (Buttermere),34B,2381,Sim;Hew;N;W; B;Sy;Fel,755.3,NY160154,54.527438,-3.298545,1
2400,Dale Head,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,753,NY222153,54.527238,-3.202284,1
2401,High Crag (Buttermere),34B,2381,Sim;Hew;N;W; B;Sy;Fel,744,NY180139,54.514628,-3.267412,1
2405,Robinson,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,737,NY201168,54.540812,-3.235082,1
2406,Harrison Stickle,34B,2396,Sim;Hew;N;W; B;Sy;Fel,736,NY281074,54.456898,-3.109455,1
2407,Sergeant Man,34B,2396,W;B;Sy;Fel; xN,736,NY286088,54.470362,-3.102552,1
2411,Hindscarth,34B,2400,Sim;Hew;N;W; B;Sy;Fel,727,NY215165,54.537828,-3.213755,1
2412,Ullscarf,34B,2396,Hu;Sim;Hew;N; W;B;Sy;Fel,726,NY291121,54.499923,-3.095518,1
2413,Thunacar Knott,34B,2396,N;sSim;W;B; Sy;Fel,723,NY279079,54.462189,-3.112653,1
2416,Brandreth,34B,2367,Sim;Hew;N;W; B;Sy;Fel,715,NY214119,54.496479,-3.214274,1
2417,Pike of Stickle,34B,2396,Sim;Hew;N;W; B;Sy;Fel,708.4,NY273073,54.456393,-3.121381,1
2418,Whiteside [Whiteside West Top],34B,2386,N;W;B;Sy; Fel,707,NY170219,54.585912,-3.285161,1
2419,Pike of Blisco,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,705,NY271042,54.428111,-3.124925,1
2422,Cold Pike,34B,2359,Sim;Hew;N;W; B;Sy;Fel,701,NY262036,54.4226,-3.137582,1
2423,Pavey Ark,34B,2396,N;W;B;Sy; Fel,700,NY284079,54.461494,-3.105214,1
2424,Grey Knotts,34B,2367,N;W;B;Sy; Fel,697,NY217125,54.502362,-3.210186,1
2425,Caw Fell,34B,2368,N;sSim;W;B; Sy;Fel,697,NY132109,54.486868,-3.341256,1
2427,Seatallan,34B,,Ma;Sim;Hew;N; W;B;Sy;Fel,692,NY140084,54.464065,-3.328274,1
2430,Loft Crag,34B,2396,N;sSim;W;B; Sy;Fel,681.7,NY277071,54.454429,-3.115991,1
